content,mid,like
最大的问题是品质和价格不匹配。如果你主打预制菜，就是快餐，那你价格还一道菜七八十，怎么可能有人去，人家七八十不能去吃现炒店吗。要是一顿二十多块，味道还过得去的话，起码很多上班族的中餐可以考虑买你家。,945207,0
两个人应该有矛盾了，估计是王师傅过多涉入拍摄或者运营，毛毛感觉有点不自然了，更多的是一种妥协，账号确实离不开王师傅，但是继续下去的话，毛毛就只能做后勤了。。。,119005958,6
这期唯一的看点就是:给毛毛做一桌子菜[doge],1924956,14
可乐价格呢！！,8453326,6
别给毛王压力了，他俩已经不可能走在一起了，过去的就让它过去吧，以后当个相声二人组也挺好。,28259636,13
老王从盘丝洞出来了呀[doge],290023107,6
点赞20w去新白鹿，15w给毛毛做饭，20w是因为王师傅不想去，那15w就是说王师傅想给毛毛做饭[妙啊],24488088,3
这不多点点赞[doge]王师傅给毛毛做饭吃[吃瓜][星星眼][打call],374094304,6
我对外婆家的印象非常不好，不是因为他的饭菜怎么样，而是我这边商场里的一家外婆家每次叫号会用一个音响播放一段特别夹特别响的“XXXX号，外婆喊你吃饭啦”，不仅精神污染，那个噪音能让整个人都十分烦躁。所以哪怕他家做的再好吃我也不想去吃。,1953779707,1
kfc虽然鸡和腌料是配送的，但是现炸的还是不错,12874889,10
06:36 可爱毛毛[给心心][给心心],37312804,8
断流：点赞到15万，王师傅给小毛毛亲手下厨做一桌子菜；但是点赞到20万去吃新白鹿，点到多少心里有数了吧,10941415,3
为啥来杭州探店的都这么喜欢这几家连锁以及网上一片骂的楼外楼山外山啊...叶马金猪之类的名气也有味道也还行的不做，真的挺败好感的...同为长三角地区不会真觉得上海南京杭州吃的有差多少吧,702130535,2
事实上外婆家已经算是杭州比较好吃的店了[吃瓜]（本人杭州人在湖北读书，湖北好吃的太多了）,15603334,4
我觉得可乐就直接说了吧，每次放到后面都忽略了,2616850,10
能问个问题吗？毕竟我不是老粉，但是我关注有至少有一星期多，虽然视频看的不多，我就想问一问。为什么我在弹幕里看到王师傅跟毛毛什么复合结婚什么的，所以他们到底是情侣还是不是情侣啊？就是很好奇。,472678582,1
王师傅说他很会做红烧肉[doge],27472923,6
12年吃的时候还很不错，东西是很新鲜的，只能说不会用预制菜就不要用,5491269,3
挺喜欢你们俩的，虽然看你们和几张合作过，但是还是希望你们不是几张那一路人。,669576188,3
省流：20W王师傅在新白鹿亲自下厨做一桌菜,836981,10
15w到了，兄弟们快收手,275699411,10
湖南人，在杭州读书，说实话外婆家和新白鹿的味道在我这都够不上“好吃”，简而言之就是能下饭的水平，不难吃，但是味道丝毫没有惊喜，都很标准化。在杭州我吃过最好吃的炒菜是西湖区留泗路大美创意园大门外的安庆小吃，夫妻店，店里只有五张四座的桌子，炒菜味道绝了，每个都特别好吃特别惊艳。他们家没外卖，每个菜都是老板娘猛火现炒，一个素菜也就十几块，肉菜20-60不等，四五个人点一桌菜到不了200，就是那地方很偏，平时只有附近工地和创意园员工出来吃。,11624869,0
比外婆家更早走中央厨房预制菜的应该是九毛九（据我所知），九毛九刚开业那几年所有菜都是xx.9元结尾的，菜品选择很多,1783956,1
我要看王师傅下厨！王师傅吃自己烧的菜是津津有味，不知道毛毛吃不吃得下[doge],4468286,6
外婆家定价还是很合理的，人均不过60在商场吃个饭那还要啥自行车啊，感觉就是这种预制菜把旧的传统餐厅挤走的，我记得以前万达里吃饭不管吃啥人均都是100往上，炒个青菜28 带荤的58 纯荤88,50822428,1
其实现在的预制菜很多的口味做的好很多了，接触过一些企业，他们现在都在往口感改良和健康上去做，因为他们除了一些餐饮企业，也想往家庭里面推广，尤其是很多双职工家庭，尤其是只能花钱请阿姨做饭或者叫外卖的那些,1976913,2
外婆家以前挺好的,201910,5
本来挺喜欢这个频道的。。。不过看了这期表示。。。。“给钱是探店，不给钱是踢馆”？,10478684,3
这里是外婆家的第一家店所以才叫总店，并不是最好的，杭州最好的是西溪天堂的金牌外婆家,690686316,2
平时都是看完视频才三连的，这次例外，看到王师傅要给毛毛做一桌子，直接切出来三连了。[给心心][给心心][给心心],19874535,2
[doge]说剁椒鱼头不是预制菜的，叮咚买菜的预制菜品牌王牌菜了解一下，别问，问就是这个牌子是我们公司帮忙做的[doge][doge][doge],2246739,1
"中餐相比日料和汉堡有天然的文化包袱，因为我们都喜欢吃“锅气”，喜欢现炒的菜，做成预制菜的形式无论如何都有种吃剩饭的感觉
所以现在的连锁店都是火锅烤鱼麻辣烫这种",199918959,2
有没有人和我一样，现在才知道外婆家是预制菜……感觉受到了欺骗……,397807197,5
他本可以直接做一桌子菜给毛毛，结果还送了15W赞（肯定更多），你说说[嗑瓜子][嗑瓜子][嗑瓜子],387076569,3
前两天隋大厨说了一句：一味地推崇低价格是没有意义的。应该先是味道好，同时价格合理，才是一个好的饭店，而不是因为他价格低，所以可以在味道上大大降低标准,23963303,1
现在的各家卖的预制菜都比不上便利店的预制菜，便利店从在厂里做到门店烤箱/微波炉二次加工就十几小时间隔(超过24小时就废弃了)，然而卖的预制菜保质期短的3.4天也就算了，长的12个月和预制有啥关系叫罐头菜更合适,548591022,1
不是，我看弹幕好多都说永和不好吃，我离开北京就好久没吃了，四年前我好喜欢吃永和的猪排饭的，每次下班如果在公司，我就去永和点一份[微笑],1654374,1
绿茶跟外婆家现在是真的一言难尽，只是说跟别的餐厅相比价格略低一些,1799057,0
各位去餐馆吃饭，点的菜能在30分钟内上齐，不是预制菜就是半成品菜，现在我出差都不会去商场或酒楼，只去当地人常去的土菜馆、苍蝇馆子吃饭。特别是那种能看到厨房的，厨师现杀现炒，有镬气,374850902,1
王师傅我认识一个做家具的，能做出特小的桌子[doge],19682003,5
倒也没那么难吃，只是小时候吃不起的东西长大以后吃多了更好的食物，形成了反差比而已，其实他的味道一直就那样，性价比来说还是可以的,24797286,0
以前我在酒店学厨，我们酒店可以说没有一个预制菜，不知道现在为什么变成这样了[大哭][大哭][大哭],672976985,2
每一期都点赞到了，立的东西越来越多，能不能先把前面的拍多一点再立？[喜极而泣]这样子每一期都立，什么时候拍的完？还有十几20期的都没拍,485526767,1
感觉吃浙江菜吐槽他咸其实很没意义哇，就好比你吃上海菜非要说他甜一样，就很没必要哇…咸淡真的很因人而异啊，当然火候口感新不新鲜肯定是看得出来的,219586780,1
"预制菜其实中央厨房进行不断改进更新还是可以有搞头的 对于成本和品质供应链这些东西的把控会更好一些 而且中央厨房预制菜不见得一定不好 还是看中央厨房的水平 当然专业厨师和普通消费者对于口味的评价也是有区别的
但是本身国内地方口味差异比较大 就算是通过预制菜保证出品稳定性也只能满足特定菜系消费者的一般需求 类似于更加细分的差异化需求还是比较难满足的 如果再没法保证口味的更新可能连基本盘都会保不住",1649519,0
外婆家5年前的一道鹅肝，是真的又便宜又好吃，还是冰镇款，我印象中6-8片左右应该没超过25。吃了那么一次之后再也没有了，其他的东西我觉得就一般，再也没去过他家了。顶多会外卖新白鹿。,480012283,0
省流：15w赞王师傅给毛毛亲自下厨！一桌子菜！[吃瓜],76982540,2
像外婆家、绿茶之类的餐厅不至于用那种很烂的预制菜，但是起码也是中央厨房统一做好配送到各个餐厅后有人点加热的预制菜,17701604,1
播放20秒我就三连了，兄弟们我做的对吗？,14320579,5
不知道是不是我的错觉，王师傅最近几期都是输出主力（以前是那种嘴硬式的挑刺啊啥的），毛毛有一咪咪花瓶的感觉（不是说毛毛不好的意思啊，爱毛毛[doge]）剪辑同学是不是还在练手呀，我建议让高坚果??[傲娇],4740433,1
上学的时候吃一顿外婆家那真是惊为天人，不过现在的人工房租，没办法。我到外地出差，都是挑那种苍蝇馆子吃了，不求干净卫生，就图个锅气,26175371,0
毛毛和王师傅什么时候才能和好[七濑胡桃_泪目],34837239,3
